Общее,,,,,,,,Пласт,,,,,Режим,,,,,,,,,,,Даты,,Потенциал,,,Жидкость,,,,,,Месяц,,,,Насос,,,,,,,Скважина,,,Пакер,,,Давление,,,,,,Дополнительно
,Номер скважины,Куст,Дата,Состояние,СЭ,Рентабельность,,Пласт,Hвд,Удл.,H пер.,Н эфф.,Qн,Qж,%,Р(заб),Pпл,KH,Кпр,Kпрон,Скин-фактор,Rc,H дин,Пуски,Остановки,Qн,Qж,Qж (Д),Газовый фактор,Вязкость,Плотность нефти,Коб,Вязкость жидкости,Плотность воды,Нефть,Жидкость,Т раб,Т нак,Дата,Насос,Произв-ть,Hспуск,Напор,Гц,Текущие,Dэ/к,Dнкт,Dшт,Дата,Пакер,Hпак,Рбуф,Р лин.,Р затр.,Рприем,Н стат,Рзатр при Нстат,Примечание
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","100,8","121,0","2,0","141,2","144,0","5456,9","33,70","7,2","0,0",250,,3/14/2020,2/29/2020,101,121,121,2184,"1,05","0,850","1,176","1,06","1,005",3125,3751,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"86,0","37,2","100,0","135,0",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","40,8","48,6","1,3","124,9","149,5","344,3","2,13","22,7","0,0",250,,8/25/2020,8/20/2020,41,49,49,1780,"1,05","0,850","1,176","1,06","1,005",1264,1507,744,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"92,0","23,5","107,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,сент..2020,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","147,7","182,0","4,5","132,4","140,5","3750,2","22,94","3,2","0,0",250,,8/18/2019,8/6/2019,148,182,182,1502,"1,05","0,850","1,176","1,07","1,005",4432,5460,720,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"79,0","34,2","108,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","104,3","124,0","1,0","138,6","144,0","3602,5","22,33","4,7","0,0",250,,3/14/2020,2/29/2020,104,124,124,2181,"1,05","0,850","1,176","1,05","1,005",3130,3720,720,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"85,0","35,1","111,0","133,0",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","38,7","46,8","2,8","124,9","149,5","332,9","2,05","21,9","0,0",250,,8/25/2020,8/20/2020,39,47,47,1840,"1,05","0,850","1,176","1,06","1,005",1161,1404,720,,25/08/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"93,0","27,0","106,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,авг..2020,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","149,8","186,0","5,3","116,2","140,5","1352,7","8,25","1,1","0,0",250,,8/18/2019,8/6/2019,150,186,186,1439,"1,05","0,850","1,176","1,07","1,005",4644,5766,744,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"76,0","32,0","105,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","106,9","127,0","1,0","138,1","144,0","3687,8","22,86","4,9","0,0",250,,3/14/2020,2/29/2020,107,127,127,2136,"1,05","0,850","1,176","1,05","1,005",3179,3778,714,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"84,0","35,5","110,0","133,0",0,"0,000",
Добывающая,148R,,,ОСТ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","37,9","45,0","1,0","124,9","149,5","318,5","1,97","21,0","0,0",250,,1/28/2020,8/20/2020,38,45,45,1963,"1,05","0,850","1,176","1,05","1,005",674,801,427,,28/01/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"94,0","24,0","108,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,июл..2020,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","136,6","189,0","15,0","116,2","140,5","1416,6","8,32","1,2","0,0",250,,8/18/2019,8/6/2019,137,189,189,1645,"1,05","0,850","1,176","1,11","1,005",4097,5670,720,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"70,0","32,5","103,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","103,3","124,0","2,0","137,3","144,0","2842,3","17,55","3,7","0,0",250,,3/14/2020,2/29/2020,103,124,124,2167,"1,05","0,850","1,176","1,06","1,005",3202,3844,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"81,0","38,2","110,0","131,4",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","38,6","45,9","1,0","124,9","149,5","324,8","2,01","21,4","0,0",250,,1/28/2020,1/10/2020,39,46,46,1968,"1,05","0,850","1,176","1,05","1,005",1197,1423,744,,28/01/2020 2:00:01,фонтанный лифт,,,,,,"124,0",73,8,,,,"92,0","25,0","108,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,июн..2020,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","137,8","188,0","13,8","109,5","140,5","1126,0","6,65","0,9","0,0",250,,8/18/2019,8/6/2019,138,188,188,1619,"1,05","0,850","1,176","1,11","1,005",4135,5640,720,,18/08/2019 2:00:00,,,,,,,"157,2",89,12,,,,"72,0","38,2","101,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","166,6","200,0","2,0","135,0","144,0","2356,3","14,55","3,1","0,0",250,,3/14/2020,2/29/2020,167,200,200,1853,"1,05","0,850","1,176","1,06","1,005",4998,6000,720,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"52,0","41,6","102,0","125,0",0,"0,000",
