Скважина,Дата,Пласт,ГИС,Тип,Перфоратор,N отв,Hнач(md),Hкон(md),Hнач(abs),Hкон(abs),"Hнач(abs,тр)","Hкон(abs,тр)",Плотность,Открыт
72R,14.08.1967,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пк-103,105,1891.0,1898.0,1842.8,1849.8,1842.8,1849.8,15,Да
115R,12.05.1983,НП2-3,,ПЕРВИЧ.ПЕРФ.,ПКО-89,72,1892.0,1898.0,1841.7,1847.6,1841.7,1847.7,12,Да
121R,13.01.1983,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1892.0,1896.0,1862.9,1866.9,1862.9,1866.9,12,Да
121R,22.01.1983,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,90,1892.0,1902.0,1862.9,1872.9,1862.9,1872.9,9,Да
180R,01.04.1986,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,48,1892.0,1896.0,1838.3,1842.3,1838.3,1842.3,12,Да
53R,06.07.1966,НП5-1,,ПЕРВИЧ.ПЕРФ.,КПР-65,120,1892.0,1902.0,1844.3,1854.3,1844.3,1854.3,12,Да
63R,05.04.1969,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,30,1892.0,1897.0,1841.6,1846.6,1841.6,1846.6,6,Да
64R,24.05.1969,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пк-103,40,1892.0,1896.0,1848.4,1852.4,1848.4,1852.4,10,Да
97R,14.04.1984,НП2-3,,ПЕРВИЧ.ПЕРФ.,Пкс-80,96,1892.0,1900.0,1850.4,1858.4,1850.4,1858.4,12,Да
97R,25.02.2014,НП2-3,,ПЕРЕСТРЕЛ,ЗКПО-ПП-30БО+ЗКПО-ПП-30ГП,137,1892.0,1905.7,1850.4,1864.1,1850.4,1864.1,10,Да
152R,20.10.1984,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,84,1893.0,1900.0,1852.3,1859.3,1852.3,1859.3,12,Да
169R,08.05.2014,НП5-1,,ПЕРВИЧ.ПЕРФ.,ЗПКО-30ГП+ЗПКО-30БО,180,1893.0,1899.0,1849.4,1855.4,1849.3,1855.3,30,Да
120R,19.03.1985,НП4,НП4,ПЕРВИЧ.ПЕРФ.,Пкс-80,72,1894.0,1900.0,1840.1,1846.1,1840.1,1846.1,12,Да
140R,23.11.1984,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,24,1894.0,1896.0,1846.4,1848.4,1846.5,1848.5,12,Да
144R,26.07.1984,НП5-1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,36,1894.0,1897.0,1866.1,1869.1,1866.1,1869.1,12,Да
159R,09.08.1986,НП4,НП4,ПЕРВИЧ.ПЕРФ.,ПР-43,70,1894.0,1901.0,1849.4,1856.4,1849.4,1856.4,10,Да
177R,03.06.1987,НП4,,ПЕРВИЧ.ПЕРФ.,Пр-54,50,1894.0,1899.0,1860.1,1865.1,1860.1,1865.1,10,Да
203R,08.02.2015,НП5/1а,,ПЕРВИЧ.ПЕРФ.,"ЗКПО-ПП-30ГП (102,114)",180,1894.0,1912.0,1852.8,1870.8,1852.8,1870.8,10,Да
